Отчёт о наладке оборудования;;;;;;;;
;;;;;;;;
№;;1;;;;;;
Дата;;26.09.2026 20:57:39;;;;;;
Организация;;ООО Интеллектуальные машины;;;;;;
;;;;;;;;
Описание объекта;;;;;;;;
Механизм;;;;;;;;
Место установки;;;;;;;;
Тип устройства;;00000056 DExS.SMFCB v1.10.6.1 18.07.2022 www.intmash.ru;;;;;;
Серийный номер;;00000056;;;;;;
Версия ПО;;1.10.6.1;;;;;;
Файл базы;;;;;;;;
Дата изменения базы;;;;;;;;
;;;;;;;;
Уставки параметров;;;;;;;;
№;Параметр;Регистр;Коэфф;Комментарий;HEX;Physical;Ед.Изм.;
p02200;IExcRefAuto;r0016;1;Заданный тока возбуждения в автоматическом режиме;x00BE;190;A;
p02400;IExcRefReg;r0018;1;Заданный тока возбуждения (после всех ограничителей);x00BE;190;A;
p02600;FRef;r001A;1;Заданый угол Фи (cos);x0000;0;grad;
p02800;RegCmd;r001C;1;командный регистр;x0000;0;-;
p02900;_free_;r001D;1;;x0000;0;-;
p03000;A;r001E;1;Угол управления тиристорами;x008C;140;grad;
p03200;SlideFreg;r0020;0,01;Частота скольжения;x1387;49,99;Hz;
p03300;RINSL;r0021;0,1;Сопротивление изоляции;x0000;0;kOm;
p03400;FreqRect;r0022;0,01;Частота напряжения питающей сети выпрямителя;x0000;0;Hz;
p03500;Vab;r0023;1;Линейное напряжение синхронизации выпрямителя AB;x0000;0;V;
p03600;Vbc;r0024;1;Линейное напряжение синхронизации выпрямителя BC;x0000;0;V;
p03700;Vca;r0025;1;Линейное напряжение синхронизации выпрямителя CA;x0000;0;V;
p03800;Ssg;r0026;0,001;Полная мощность двигателя;x0000;0;kBA;
p04000;Psg;r0028;0,001;Активная мощность двигателя;x0000;0;kW;
p04200;Qsg;r002A;0,001;Реактивная мощность двигателя;x0000;0;kBAr;
p04500;DEX_STATE(TEST);r002D;1;Состояние возбудителя;x019F;415;--;
p04600;Qoe;r002E;1;Реакт.мощность отн.единицы;x0000;0;oe;
p04800;QLimMin;r0030;0,001;Допустимая минимальная реактивная мощность;x0214;0,532;--;
p04900;QLimMax;r0031;0,001;Допустимая мaксимальная реактивная мощность;x0321;0,801;--;
p05000;KeyCtl;r0032;1;Коды управления от ОП;x0000;0;B;
p05200;HCKState;r0034;1;;x0000;0;-;
p05235;vpchs_run;r0034.0;1;0-ВПЧС в работе;x0000;0;.;
p05236;RVF;r0034.1;1;1-включение форсировки;x0000;0;.;
p05237;DCS_OK;r0034.F;1;Нет обрыва 4-20мА платы НСК;x0000;0;.;
p05300;AIN_SSP;r0035;1;Задание тока от УПП(ПЧ);x0000;0;none;
p06400;FLAGS0;r0040;1;;x0000;0;—;
p06401;F0.SELECT;r0040.0;1;Выбранный системой регулятор. 0-Основной 1-Резервный;x0000;0;.;
p06402;F0.SEL_SW;r0040.1;1;"Положение переключателя ""Основной|Резе";x0000;0;.;
p06403;F0.DEV1_OK;r0040.2;1;1-Основной регулятор исправен и готов к работе;x0000;0;.;
p06404;F0.DEV1_RON;r0040.3;1;1-Активен основной регулятор;x0000;0;.;
p06405;F0.DEV2_OK;r0040.4;1;1-Резервный регулятор исправен и готов к работе;x0000;0;.;
p06406;F0.DEV2_RON;r0040.5;1;1-Активен резервный регулятор;x0000;0;.;
p06407;F0.DEV1_LNK;r0040.6;1;Наличие связи с регулятором. 1-основной регулятор на связи;x0000;0;.;
p06408;F0.DEV2_LNK;r0040.7;1;Наличие связи с регулятором. 1-резервный регулятор на связи;x0000;0;.;
p06409;F0.DEV1_Ios;r0040.8;1;Контроль датчика тока возбуждения. Основной. 1-ток возбуждения в пределах заданного;x0000;0;.;
p06410;F0.DEV2_Ios;r0040.9;1;Контроль датчика тока возбуждения. Резервный. 1-ток возбуждения в пределах заданного;x0000;0;.;
p06411;F0.DEV1_SYN;r0040.A;1;Наличие синхронизации с сетью. Основной. 1-исправен;x0000;0;.;
p06412;F0.DEV2_SYN;r0040.B;1;Наличие синхронизации с сетью. Резервный. 1-исправен;x0000;0;.;
p06413;F0.DEV1_PWR;r0040.C;1;Наличие питания =24В. Основной. 1-исправен;x0000;0;.;
p06414;F0.DEV2_PWR;r0040.D;1;Наличие питания =24В. Резервный. 1-исправен;x0000;0;.;
p06415;F0.DEV_EQU;r0040.E;1;1-Регуляторы эквивалентны (выполняют одинаковые действия);x0000;0;.;
p06416;F0.ALRFRST;r0040.F;1;Кто первым обнаружил аварию? 0-основной 1-резервный;x0000;0;.;
p06501;DIN.0(C1_AC);r0041.0;1;С1 вводной выключатель;x0000;0;.;
p06502;DIN.1(C1_DC);r0041.1;1;С1 отходящий выключатель;x0000;0;.;
p06503;DIN.2(C2_AC);r0041.2;1;С2 вводной выключатель;x0000;0;.;
p06504;DIN.3(C2_DC);r0041.3;1;С2 отходящий выключатель;x0000;0;.;
p06505;DIN.4(OWH);r0041.4;1;"""ПЕРЕГРЕВ"". 0-Перегрев";x0000;0;.;
p06506;DIN.5(SEL);r0041.5;1;Переключатель выбор регулятора;x0000;0;.;
p06507;DIN.6(C1_SPWR);r0041.6;1;C1 24В пит. собственных нужд;x0000;0;.;
p06508;DIN.7(C2_SPWR);r0041.7;1;C2 24В пит. собственных нужд;x0000;0;.;
p06601;DOUT.0(RON1);r0042.0;1;;x0000;0;.;
p06602;DOUT.1(RON2);r0042.1;1;;x0000;0;.;
p06603;DOUT.2(NVR);r0042.2;1;"Реле аварии ""Нет исправных регуляторов""";x0000;0;.;
p06604;DOUT.3;r0042.3;1;;x0000;0;.;
p06605;DOUT.4(EXCITE);r0042.4;1;"Реле ""ВОЗБУЖДЕНИЕ""";x0000;0;.;
p06606;DOUT.5(RQREADY);r0042.5;1;Выключатели выпрямителей включены;x0000;0;.;
p06700;DEV_STATE;r0043;1;---;x0000;0;—;
p06800;FSERVICE;r0044;1;Управление FLASH сервисами;x0000;0;—;
p06900;FLAGS1;r0045;1;---;x0000;0;—;
p06901;F1.DEV1_THF;r0045.0;1;Основной регулятор. 1-ок. 0-канал управления тиристорами НЕисправен;x0000;0;.;
p06902;F1.DEV2_THF;r0045.1;1;Резервный регулятор. 1-ок. 0-канал управления тиристорами НЕисправен;x0000;0;.;
p06903;F1.GLB_ERR;r0045.2;1;1-Авария вычисленная iCM (сигнал аварийного завершения работы для всех регуляторов);x0000;0;.;
p06904;F1.DEV1_NFF;r0045.3;1;Контроль наличия возбуждения. Основной. 1-возбуждение в норме. 0-обрыв поля;x0000;0;.;
p06905;F1.DEV2_NFF;r0045.4;1;Контроль наличия возбуждения. Резервный. 1-возбуждение в норме. 0-обрыв поля;x0000;0;.;
p06906;F1.DEV1_RQON;r0045.6;1;Q6 выпрямителя. Основной. 1-включен. 0-отключен;x0000;0;.;
p06907;F1.DEV2_RQON;r0045.6;1;Q7 выпрямителя. Основной. 1-включен. 0-отключен;x0000;0;.;
p06908;F1.NotValidReg;r0045.7;1;Авария. Нет исправных регуляторов;x0000;0;.;
p06909;F1.OVH;r0045.8;1;Авария. ПЕРЕГРЕВ;x0000;0;.;
p06917;F1.CAIN1OK;r0045.E;1;CAIN1 Контроль целостности линии 4-20мА;x0000;0;.;
p06918;F1.CAIN2OK;r0045.F;1;CAIN2 Контроль целостности линии 4-20мА;x0000;0;.;
p07000;iAIN1;r0046;1;---;x0000;0;—;
p07100;iAIN2;r0047;1;---;x0000;0;—;
p07200;PWM1;r0048;1;---;x0000;0;—;
p07300;PWM2;r0049;1;---;x0000;0;—;
p07400;PWM3;r004A;1;---;x0000;0;—;
p07500;w1;r004B;1;---;x0000;0;—;
p07600;IP ADDR;r004C;1;IP адрес сетевой карты;x00000000;0;-;
p07800;TPWR;r004E;1;Температура силовой части;x0000;0;°C;
;;;;;;;;
Коэффициенты;;;;;;;;
AINK;;0,00388;;;;;;
CINScale;;0,0226;;;;;;
sT;;1;;;;;;
